,city,order_date,source,order_id,booking_amount,actual_city_name,seller_locality,payment_mode,logistic_provider_name,fulfillment_type,package_type,sample_type,Radiography
20,Delhi,28-12-2022,Inbound-SEM,63ac17598e918bfbfef3579c,0,Ghaziabad,GURGOAN,POD,Lifecell HA,AT-HOME,HA,other,HAother
21,DELHI,28-12-2022,Exotel Lead,63ac2c178e918b2a13f35c01,1700,DELHI,ISHWAR NAGAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
22,Hyderabad,28-12-2022,IB-UPSELL,63ac2e4949867a286be5d3ab,1974.45,Hyderabad,BEGUMPET,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
23,Other,29-12-2022,APP,63acaa648e918bc781f36d84,1798,Karnal,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
24,Delhi,29-12-2022,WEB_ORDER,63acb9a78e918bb27df36dfa,3339,Modinagar,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
25,MUMBAI,29-12-2022,Inbound-SEM,63ad0fdc49867af58ee5ea6c,1105,MUMBAI,ANDHERI EAST,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
26,CHENNAI,29-12-2022,Inbound-SEM,63ad18978e918b078ff37562,1350,CHENNAI,MOGAPPAIR EAST,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
27,GHAZIABAD,29-12-2022,Inbound-SEM,63ad33b48e918b76a3f37bab,220,GHAZIABAD,NEHRU NAGAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
28,Bengaluru,29-12-2022,Opportunity,63ad489a8e918b2f15f38062,2649.45,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
29,Bengaluru,29-12-2022,Agent Upsell,63ad48f949867a4d1ee5f627,2649.45,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
30,PUNE,29-12-2022,Outbound Lead,63ad4dd049867a196fe5f724,3500,PUNE,KOTHRUD,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
31,MUMBAI,29-12-2022,Exotel Lead,63ad85268e918b3c34f38cc9,5200,MUMBAI,KOLBAD ROAD-THANE WEST,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
32,DELHI,29-12-2022,APP,63ad864b49867a7b6ce6031a,12000,DELHI,SDA,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
33,Other,29-12-2022,APP,63ad8cdd49867ae949e604f1,1199,Bhubaneswar,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
34,KOLKATA,29-12-2022,Inbound-SEM,63ad8edb49867a882ee605c9,3565,KOLKATA,BHOWANIPORE,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
35,Other,29-12-2022,APP,63ad93628e918b0d8af3913d,559.3,Kurnool,,POD,Thyrocare-DSA,AT-HOME,Lab-Test,other,Lab-Testother
36,Bengaluru,29-12-2022,APP,63adaafc49867a9ff9e60c4c,799,Bengaluru,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,HA,other,HAother
37,Bengaluru,29-12-2022,Opportunity,63adb2508e918b06eff397b1,799.2,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
38,Delhi,29-12-2022,Exotel Lead,63adb4e849867a116de60e60,700.3,New Delhi,DELHI,POD,Lifecell HA,AT-HOME,Lab-Test,other,Lab-Testother
39,MUMBAI,29-12-2022,Opportunity,63adb5e88e918bfc00f3989e,962.5,MUMBAI,BORIVALI WEST,POD,,AT-CENTER,Lab-Test,other,Lab-Testother
40,DELHI,29-12-2022,Outbound Lead,63adc27b8e918b3eb4f39ae4,2680,DELHI,KARKADOOMA,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
41,PUNE,30-12-2022,APP,63ae56ba8e918bc59ef3a21a,1380,PUNE,KESHAV NAGAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
42,DELHI,30-12-2022,Inbound-SEM,63ae72f08e918b8047f3a747,4000,DELHI,DEFENCE COLONY,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
43,DELHI,30-12-2022,Exotel Lead,63ae806f49867ab255e61ff2,570,DELHI,PALAM COLONY,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
44,DELHI,30-12-2022,Exotel Lead,63ae80ba49867af99de6201e,720,DELHI,PALAM COLONY,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
45,DELHI,30-12-2022,Exotel Lead,63ae80ff8e918b253df3aabd,540,DELHI,PALAM COLONY,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
46,Bengaluru,30-12-2022,APP,63ae962a49867a2ea2e6248c,2699, ,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
47,Hyderabad,30-12-2022,APP,63ae98308e918b0c6ff3afad,0, ,BEGUMPET,NO-PAYMENT-REQUIRED,Thyrocare-DSA,AT-HOME,HA,other,HAother
48,HYDERABAD,30-12-2022,Agent Upsell,63ae9a888e918b3125f3b053,765,HYDERABAD,KARMANGHAT,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
49,PUNE,30-12-2022,Outbound Lead,63aeab6e8e918b4805f3b3ec,5000,PUNE,MANGALWAR PETH,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
50,PUNE,30-12-2022,Inbound-SEM,63aeb09049867a8160e629d6,5000,PUNE,KOTHRUD,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
51,Bengaluru,30-12-2022,Inbound Lead,63aeb2fe8e918b08e0f3b547,1499.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
52,Bengaluru,30-12-2022,WEB_ORDER,63aec7168e918b066ff3b900,1199,Mylanahalli,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
53,Bengaluru,30-12-2022,APP,63aee6df8e918b0910f3bf4d,1833,Bengaluru,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,Lab-Test,other,Lab-Testother
54,Bengaluru,30-12-2022,App Upgrade,63aeea5c8e918be071f3c040,2799.4,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
55,Other,30-12-2022,HealthifyMe,63aef7288e918bb722f3c319,0,Kashipur,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
56,BENGALURU,30-12-2022,APP,63aefbb68e918b59edf3c3fb,3557.5,BENGALURU,INDIRA NAGAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
57,Other,30-12-2022,APP,63aefc698e918b4c64f3c433,1199,Bhubaneswar,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
58,Bengaluru,30-12-2022,APP,63af17d58e918b2607f3c8b7,0,Bengaluru,BENGALURU,NO-PAYMENT-REQUIRED,lifecell-isolve,AT-HOME,HA,other,HAother
59,Delhi,30-12-2022,APP,63af24248e918b11dff3c9f8,2299.3,Delhi,DELHI,POD,Lifecell HA,AT-HOME,HA,other,HAother
60,Bengaluru,31-12-2022,APP,63afa54f49867a8e7be64185,1599.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
61,Other,31-12-2022,IB-UPSELL,63afb1b349867aa28ce64367,1128.8,Aurangabad,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
62,Delhi,31-12-2022,Opportunity,63afb20b8e918baa1cf3d0b8,1699.3,New Delhi,DELHI,POD,Lifecell HA,AT-HOME,HA,other,HAother
63,DELHI,31-12-2022,Inbound-SEM,63afb2b18e918b1064f3d0cd,715,DELHI,HAUZ KHAS,ONLINE,,AT-CENTER,Lab-Test,other,Lab-Testother
64,Delhi,31-12-2022,APP,63afbb0a8e918bc1fff3d278,3099,Delhi,DELHI,ONLINE,Lifecell HA,AT-HOME,HA,other,HAother
65,Chennai,31-12-2022,APP,63afc1e549867a78f0e64669,749,Chennai,CHENNAI,ONLINE,Lifecell HA,AT-HOME,HA,other,HAother
66,PUNE,31-12-2022,Inbound-SEM,63afc23e49867a9b8de64681,6080,PUNE,BANER,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
67,Bengaluru,31-12-2022,APP,63afc67c8e918b4553f3d50c,1699.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
68,DELHI,31-12-2022,WEB_ORDER,63afc8738e918b5387f3d56a,720,DELHI,DWARKA SECTOR-10 METRO STATION,ONLINE,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
69,MUMBAI,31-12-2022,Support,63afcb3c49867a51f4e647fb,2400,MUMBAI,GOREGAON WEST,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
70,NAVI MUMBAI,31-12-2022,Inbound-SEM,63afd0558e918b50e6f3d73b,1371.5,NAVI MUMBAI,VASHI,POD,,AT-CENTER,Lab-Test,other,Lab-Testother
71,Hyderabad,31-12-2022,APP,63afd1c38e918b5d08f3d7b0,531,Secunderabad,BEGUMPET,ONLINE,Thyrocare-DSA,AT-HOME,Lab-Test,other,Lab-Testother
72,MUMBAI,31-12-2022,Exotel Lead,63afd7a049867abd70e64a86,3415,MUMBAI,BORIVALI WEST,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
73,NAVI MUMBAI,31-12-2022,Exotel Lead,63afd8018e918b1d2af3d917,1440,NAVI MUMBAI,KHARGHAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
74,Chennai,31-12-2022,App Upgrade,63afde798e918b11dbf3da55,1179.4,Chennai,CHENNAI,POD,Lifecell HA,AT-HOME,HA,other,HAother
75,Bengaluru,31-12-2022,APP,63afdeab8e918be05af3da65,1025.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,Lab-Test,other,Lab-Testother
76,Chennai,31-12-2022,App Upgrade,63afdee78e918b7405f3da78,1179.4,Chennai,CHENNAI,POD,Lifecell HA,AT-HOME,HA,other,HAother
77,GHAZIABAD,31-12-2022,Exotel Lead,63afe46449867a16abe64cf4,6600,GHAZIABAD,NEHRU NAGAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
78,Other,31-12-2022,APP,63afe92649867a69cfe64de0,1610, ,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
79,LUCKNOW,31-12-2022,Outbound Lead,63aff64249867a0bbfe65056,1320,LUCKNOW,GOLAGANJ,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
80,PUNE,31-12-2022,Outbound Lead,63aff6588e918bb519f3deff,4250,PUNE,BANER,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
81,Bengaluru,31-12-2022,Inbound Lead,63b000918e918bc5d3f3e0f3,1530.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
82,Bengaluru,31-12-2022,IB-UPSELL,63b0010a49867a8edde65207,1459.45,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
83,Bengaluru,31-12-2022,APP,63b002ee8e918b7690f3e15e,1598,Bengaluru,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,HA,other,HAother
84,Bengaluru,31-12-2022,WEB_ORDER,63b0042a8e918b46ddf3e197,700.3,Bengaluru,BENGALURU,POD,Thyrocare-DSA,AT-HOME,RTPCR,other,RTPCRother
85,Bengaluru,31-12-2022,Opportunity,63b005818e918b5d24f3e1e9,2136.95,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
86,NOIDA,31-12-2022,Outbound Lead,63b005d049867a662ce652c4,1620,NOIDA,SECTOR 49,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
87,Bengaluru,31-12-2022,Opportunity,63b007ba49867a07fee65301,2334.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,Lab-Test,other,Lab-Testother
88,Bengaluru,31-12-2022,APP,63b007ba8e918bc4c6f3e23d,0,Bengaluru,BENGALURU,NO-PAYMENT-REQUIRED,lifecell-isolve,AT-HOME,HA,other,HAother
89,GURUGRAM,31-12-2022,Inbound-SEM,63b00d5249867a5875e653f5,900,GURUGRAM,SECTOR 15,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
90,Chennai,31-12-2022,APP,63b03bf649867a04c8e65b9b,1099.3, ,CHENNAI,POD,Lifecell HA,AT-HOME,HA,other,HAother
91,Delhi,31-12-2022,APP,63b03c9d49867a1003e65bb5,1498,Gurugram,GURGOAN,ONLINE,Lifecell HA,AT-HOME,HA,other,HAother
92,Bengaluru,31-12-2022,Exotel Lead,63b052988e918b9e92f3ecf8,0,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
93,Bengaluru,31-12-2022,APP,63b0553749867a47b9e65f21,1099.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
94,DELHI,31-12-2022,Exotel Lead,63b05d6249867a95cfe66073,1530,DELHI,TILAK NAGAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
95,BENGALURU,31-12-2022,APP,63b05d8d49867ae2fbe6607e,742,BENGALURU,WHITEFIELD,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
96,DELHI,31-12-2022,Inbound-SEM,63b05f2449867a3667e660b0,450,DELHI,UTTAM NAGAR,POD,,AT-CENTER,Lab-Test,other,Lab-Testother
97,MUMBAI,31-12-2022,Inbound-SEM,63b0607649867a04ace660e3,3558,MUMBAI,BORIVALI WEST,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
98,Bengaluru,31-12-2022,PDF-VIEW,63b061418e918b465ef3eeff,799,Bengaluru,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,Lab-Test,other,Lab-Testother
99,Bengaluru,01-01-2023,Phlebo Upsell,63b0f4578e918b07fdf3f3cb,1379.5,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
100,Bengaluru,01-01-2023,Phlebo Upgrade,63b0f4be8e918b9ad7f3f3d1,1379.5,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
101,Bengaluru,01-01-2023,Phlebo Upsell,63b101c949867a1d82e6667b,1540.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,Lab-Test,other,Lab-Testother
102,Bengaluru,01-01-2023,Phlebo Upgrade,63b103d649867af43fe666d4,1299.5,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
103,Bengaluru,01-01-2023,Phlebo Upgrade,63b105318e918b5eeff3f53c,250.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,Lab-Test,other,Lab-Testother
104,Chennai,01-01-2023,Opportunity,63b1131049867a0e83e6688c,135,Chennai,CHENNAI,POD,Lifecell Now,AT-HOME,Lab-Test,other,Lab-Testother
105,NAVI MUMBAI,01-01-2023,APP,63b11af38e918b7229f3f836,3000,NAVI MUMBAI,VASHI,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
106,NAVI MUMBAI,01-01-2023,APP,63b11ba149867ab837e66a6f,250,NAVI MUMBAI,VASHI,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
107,PUNE,01-01-2023,Outbound Lead,63b11f6449867a4cc7e66ae8,3500,PUNE,MANGALWAR PETH,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
108,AHMEDABAD,01-01-2023,APP,63b125fc49867adf5fe66c21,2850,AHMEDABAD,AHMEDABAD,ONLINE,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
109,DELHI,01-01-2023,Exotel Lead,63b139178e918b3b89f3fd73,8640,DELHI,MOTI BAGH,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
110,PUNE,01-01-2023,Inbound-SEM,63b1477149867a7df0e67119,3500,PUNE,KOTHRUD,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
111,Other,01-01-2023,IB-UPSELL,63b14a4a49867a1338e67185,999.3,Surat,,POD,Thyrocare-DSA,AT-HOME,Lab-Test,other,Lab-Testother
112,Other,01-01-2023,IB-UPSELL,63b14ba38e918b1d03f40022,999.3,Surat,,POD,Thyrocare-DSA,AT-HOME,Lab-Test,other,Lab-Testother
113,Chennai,01-01-2023,Phlebo Upsell,63b164a38e918bc6a2f4033a,4100.3,Chennai,CHENNAI,POD,Lifecell Now,AT-HOME,Lab-Test,other,Lab-Testother
114,Chennai,01-01-2023,Phlebo Upsell,63b1658649867a7ee3e67533,1035.3,Chennai,CHENNAI,POD,Lifecell Now,AT-HOME,RTPCR,other,RTPCRother
115,Chennai,01-01-2023,Phlebo Upsell,63b169e449867af7f6e675be,1035.3,Chennai,CHENNAI,POD,Lifecell Now,AT-HOME,RTPCR,other,RTPCRother
116,PUNE,01-01-2023,Inbound-SEM,63b175358e918bde31f40564,3500,PUNE,MANGALWAR PETH,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
117,DELHI,13-12-2022,Exotel Lead,6398780d8e918b42eff0b8f4,770,DELHI,KIRTI NAGAR,POD,,AT-CENTER,Lab-Test,other,Lab-Testother
118,DELHI,14-12-2022,Outbound Lead,639958068e918b3faff0cbb7,180,DELHI,SAFDARJUNG ,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
119,DELHI,14-12-2022,Inbound-SEM,6399b11a8e918b3ad1f0de0a,2250,DELHI,GREEN PARK,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
120,NAGPUR,15-12-2022,APP,639a9aa149867a8028e36ac7,0,NAGPUR,NAGPUR,NO-PAYMENT-REQUIRED,,AT-CENTER,Lab-Test,other,Lab-Testother
121,HYDERABAD,17-12-2022,Corporate Activity,639d797c49867aad17e3d856,0,HYDERABAD,KONDAPUR,POD,,AT-CENTER,Lab-Test,other,Lab-Testother
122,DELHI,18-12-2022,Outbound Lead,639eab4d8e918b3cf2f186e6,6000,DELHI,TILAK NAGAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
123,DELHI,19-12-2022,Inbound-SEM,63a05b0349867a6f7ae43b4b,340,DELHI,VIKAS PURI,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
124,MUMBAI,19-12-2022,Inbound-SEM,63a07eda49867a6526e4438f,1350,MUMBAI,DADAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
125,BENGALURU,20-12-2022,Exotel Lead,63a16b318e918b5d29f1e3e4,1615,BENGALURU,HSR LAYOUT,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
126,BENGALURU,21-12-2022,APP,63a31d5f8e918b1b69f226ea,0,BENGALURU,MARATHALLI,NO-PAYMENT-REQUIRED,,AT-CENTER,Lab-Test,other,Lab-Testother
127,BENGALURU,21-12-2022,APP,63a31da349867ae607e49e5f,0,BENGALURU,MARATHALLI,NO-PAYMENT-REQUIRED,,AT-CENTER,Lab-Test,other,Lab-Testother
128,GUNTUR,23-12-2022,APP,63a55c138e918b20f5f27073,0,GUNTUR,GUNTUR,NO-PAYMENT-REQUIRED,,AT-CENTER,Lab-Test,other,Lab-Testother
129,NAVI MUMBAI,23-12-2022,Outbound Lead,63a570178e918b5774f273ba,5965.5,NAVI MUMBAI,VASHI,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
130,ROHTAK,23-12-2022,Exotel Lead,63a5ae7549867a0b26e4f867,7450,ROHTAK,ROHTAK,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
131,GWALIOR,24-12-2022,APP,63a692158e918b29b9f293fd,0,GWALIOR,VIKAS NAGAR,POD,,AT-CENTER,Lab-Test,other,Lab-Testother
132,GWALIOR,24-12-2022,APP,63a693098e918b3e88f2945a,0,GWALIOR,VIKAS NAGAR,NO-PAYMENT-REQUIRED,,AT-CENTER,Lab-Test,other,Lab-Testother
133,PUNE,24-12-2022,Exotel Lead,63a6b30749867a4904e5138c,3500,PUNE,MANGALWAR PETH,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
134,MUMBAI,24-12-2022,Exotel Lead,63a6be7b8e918b6946f29d9e,2625,MUMBAI,KALWA,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
135,BENGALURU,24-12-2022,APP,63a6fd1149867a0caae52107,2999,BENGALURU,MARATHALLI,ONLINE,,AT-CENTER,Lab-Test,other,Lab-Testother
136,BENGALURU,24-12-2022,APP,63a7171249867ad8a3e526c5,0,BENGALURU,MARATHALLI,POD,,AT-CENTER,Lab-Test,other,Lab-Testother
137,BENGALURU,25-12-2022,APP,63a74a7c49867a302ce52dc7,0,BENGALURU,INDIRANAGAR,NO-PAYMENT-REQUIRED,,AT-CENTER,HA,other,HAother
138,BENGALURU,25-12-2022,APP,63a7c9b98e918b1923f2baa4,0,BENGALURU,BASAVANAGUDI,NO-PAYMENT-REQUIRED,,AT-CENTER,Lab-Test,other,Lab-Testother
139,HYDERABAD,25-12-2022,Inbound Lead,63a804d649867a9245e53d29,2095.25,HYDERABAD,JUBILEE HILLS,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
140,Bengaluru,25-12-2022,Opportunity,63a808458e918bb1f1f2c583,1599.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
141,Bengaluru,25-12-2022,Agent Upsell,63a8087849867a1c9de53de2,1374.45,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
142,HYDERABAD,25-12-2022,APP,63a877268e918bb639f2d6b6,200,HYDERABAD,RTC X ROADS,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
143,PUNE,26-12-2022,APP,63a89d4649867a6180e5528b,0,PUNE,VIMAN NAGAR,NO-PAYMENT-REQUIRED,,AT-CENTER,Lab-Test,other,Lab-Testother
144,HYDERABAD,26-12-2022,APP,63a923578e918be1dff2e011,0,HYDERABAD,KONDAPUR,NO-PAYMENT-REQUIRED,,AT-CENTER,Lab-Test,other,Lab-Testother
145,LUCKNOW,26-12-2022,Exotel Lead,63a9377d49867a0071e55e00,9640,LUCKNOW,ALIGANJ,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
146,Other,26-12-2022,Opportunity,63a9574e49867a616be56460,910.3,Muzaffarpur,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
147,Other,26-12-2022,Agent Upsell,63a957a18e918bafeff2ea14,788.8,Muzaffarpur,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
148,PUNE,26-12-2022,Inbound-SEM,63a959d149867a51bde564f6,3500,PUNE,KOTHRUD,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
149,MUMBAI,26-12-2022,Inbound-SEM,63a96e9b8e918bb226f2ef72,7800,MUMBAI,KOLBAD ROAD-THANE WEST,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
150,GHAZIABAD,26-12-2022,Exotel Lead,63a9a42149867a7188e5751d,285,GHAZIABAD,NEHRU NAGAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
151,MYSORE,26-12-2022,WEB_ORDER,63a9a8238e918b0916f2fb9c,750,MYSORE,KALIDASA RAOD,ONLINE,,AT-CENTER,HA,other,HAother
152,MYSORE,26-12-2022,WEB_ORDER,63a9aaa649867a0d9ae576b4,750,MYSORE,KALIDASA RAOD,ONLINE,,AT-CENTER,HA,other,HAother
153,PUNE,26-12-2022,Outbound Lead,63a9c6618e918b0687f30219,3500,PUNE,MANGALWAR PETH,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
154,BENGALURU,27-12-2022,APP,63aa73918e918b5b10f30ff1,3900,BENGALURU,MARATHALLI,ONLINE,,AT-CENTER,Lab-Test,other,Lab-Testother
155,BENGALURU,27-12-2022,PDF-VIEW,63aa7c868e918b4a56f311eb,60,BENGALURU,BELLANDUR,ONLINE,,AT-CENTER,Lab-Test,other,Lab-Testother
